                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0345,                 4.8544,                 4.1261,                 1.6358,                0.01407,                0.06562,                 0.0328,                0.01817,                0.00273,                0.04167,                0.02145,                0.00455,                 1.9537,                 4.2223,                 4.2868,                 1.5377,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                 1.9145,                 4.6849,                 4.1314,                 1.5735,                0.01447,                0.06562,                0.03169,                  0.018,                0.00278,                0.04167,                0.02147,                 0.0053,                  1.894,                 4.1809,                 4.2777,                 1.5034,                2.7e-05,                2.7e-05,                2.7e-05
                      3,                 1.9138,                 4.4377,                 4.1281,                 1.5705,                0.01484,                0.06814,                0.03246,                0.01769,                0.00273,                0.04167,                0.02145,                0.00718,                 1.8593,                 4.0973,                 4.2783,                 1.4888,              4.455e-05,              4.455e-05,              4.455e-05
                      4,                 1.8187,                 4.3278,                  4.069,                 1.5199,                 0.0158,                0.06814,                 0.0406,                0.02222,                0.00273,                0.04167,                0.02145,                0.00578,                 1.8314,                 4.0813,                 4.2695,                 1.4568,              6.174e-05,              6.174e-05,              6.174e-05
                      5,                 1.7835,                 4.0682,                 4.0483,                 1.4488,                0.01559,                0.06351,                0.06152,                0.04385,                0.00423,                 0.0496,                0.04367,                0.03002,                 1.7809,                 4.0684,                 4.2741,                 1.3924,              7.857e-05,              7.857e-05,              7.857e-05
                      6,                 1.7024,                 3.9225,                 3.9989,                 1.4039,                0.02049,                0.07277,                0.05948,                0.04695,                0.00426,                 0.0463,                0.04289,                0.02519,                 1.8959,                 4.1186,                 4.2298,                 1.3895,              9.504e-05,              9.504e-05,              9.504e-05
                      7,                 1.5884,                 3.6441,                 3.8957,                 1.3345,                0.01806,                0.07066,                0.05575,                0.04706,                0.00441,                 0.0463,                0.04299,                0.01074,                 1.9616,                 4.0924,                  4.194,                 1.3717,             0.00011115,             0.00011115,             0.00011115
                      8,                 1.6473,                 3.6286,                 3.8332,                 1.3481,                0.01855,                0.07066,                0.06383,                0.04877,                0.00278,                0.04167,                0.01467,                0.00587,                 1.9642,                 4.0678,                 4.1808,                 1.3471,              0.0001269,              0.0001269,              0.0001269
                      9,                 1.5304,                 3.4839,                 3.7218,                 1.2711,                0.01985,                0.07529,                0.04532,                0.02842,                0.00463,                 0.0463,                0.01561,                0.00341,                 2.0042,                 4.0512,                 4.1784,                 1.3514,             0.00014229,             0.00014229,             0.00014229
                     10,                 1.6156,                 3.5422,                 3.7317,                 1.2603,                   0.02,                0.07529,                0.04592,                0.03039,                0.00347,                0.04167,                0.02174,                0.00869,                 1.9773,                 4.0183,                 4.1614,                 1.3342,             0.00015732,             0.00015732,             0.00015732
                     11,                 1.5582,                 3.4574,                 3.6461,                 1.2754,                0.02089,                0.07529,                0.04602,                0.03084,                0.00704,                0.04924,                0.02358,                0.01344,                 1.9488,                 3.9906,                 4.1517,                 1.3289,             0.00017199,             0.00017199,             0.00017199
                     12,                 1.6024,                 3.4184,                 3.6385,                 1.2966,                0.02404,                 0.0774,                  0.043,                0.02603,                0.00908,                0.05718,                0.01807,                0.00968,                 1.9536,                 4.0092,                 4.1341,                 1.3424,              0.0001863,              0.0001863,              0.0001863
                     13,                  1.531,                 3.2951,                  3.498,                 1.2509,                0.02514,                0.08203,                0.04493,                0.02361,                0.00599,                 0.0496,                0.01645,                0.00946,                 1.9474,                 4.0072,                 4.1042,                 1.3337,             0.00020025,             0.00020025,             0.00020025
                     14,                 1.5413,                 3.3485,                 3.4583,                 1.2502,                0.02603,                0.08203,                0.04507,                0.02475,                0.00556,                 0.0496,                0.01625,                 0.0042,                 1.9588,                  4.004,                 4.0574,                 1.3349,             0.00021384,             0.00021384,             0.00021384
                     15,                 1.5308,                  3.187,                 3.3759,                 1.2662,                0.03352,                0.10001,                0.04279,                0.02618,                0.00868,                0.05718,                0.01124,                0.00563,                 1.9381,                 4.0321,                 4.0237,                 1.3135,             0.00022707,             0.00022707,             0.00022707
                     16,                 1.5088,                 3.2189,                  3.268,                 1.2115,                 0.0327,                0.10716,                0.03636,                0.02121,                0.00793,                0.05387,                0.01353,                 0.0075,                 1.9564,                 4.1152,                 3.9681,                 1.3066,             0.00023994,             0.00023994,             0.00023994
                     17,                 1.5486,                 3.1343,                 3.1676,                 1.2198,                 0.0327,                0.11143,                0.05124,                0.02203,                0.01408,                0.07401,                0.02693,                0.01567,                 1.9892,                  4.139,                 3.9097,                 1.3209,             0.00025245,             0.00025245,             0.00025245
                     18,                 1.5025,                 3.0836,                 3.0875,                 1.2136,                0.03939,                 0.1371,                0.06223,                 0.0263,                0.02091,                0.10137,                0.03696,                0.02172,                 1.9819,                  4.106,                 3.9009,                 1.3244,             0.00026461,             0.00026461,             0.00026461
                     19,                 1.5458,                   3.15,                 3.0706,                 1.2203,                0.03905,                0.14425,                0.07642,                0.03303,                0.02348,                0.11358,                0.05716,                0.02912,                 1.9972,                 4.0144,                 3.8863,                 1.3369,              0.0002764,              0.0002764,              0.0002764
                     20,                 1.4939,                 3.0465,                 2.9419,                 1.1943,                0.03596,                0.13806,                 0.1016,                0.05591,                0.02063,                0.11027,                0.08263,                0.05394,                 1.9774,                 4.0219,                 3.8742,                 1.3463,             0.00028783,             0.00028783,             0.00028783
                     21,                 1.5577,                 3.1004,                 2.8979,                  1.211,                 0.0406,                0.15477,                0.10589,                0.05776,                0.02729,                0.12909,                0.08586,                0.05126,                 1.9912,                  4.059,                 3.8626,                 1.3663,              0.0002989,              0.0002989,              0.0002989
                     22,                 1.5936,                 3.1122,                 2.8257,                 1.2207,                0.04383,                0.17455,                 0.1044,                0.07017,                0.02874,                0.15182,                0.08785,                0.04828,                 1.9971,                 4.1342,                 3.8577,                 1.4106,             0.00030961,             0.00030961,             0.00030961
                     23,                 1.5472,                 3.0103,                 2.6769,                 1.2027,                0.04847,                0.17491,                 0.1063,                0.07154,                0.03249,                0.16108,                0.09037,                0.05009,                  2.038,                 4.1684,                 3.8295,                 1.4234,             0.00031996,             0.00031996,             0.00031996
                     24,                  1.441,                 2.8138,                 2.5529,                 1.1848,                0.05526,                0.17702,                0.11327,                0.07232,                0.02962,                0.14887,                0.09868,                0.04745,                 2.0457,                 4.1849,                 3.7912,                 1.4429,             0.00032995,             0.00032995,             0.00032995
                     25,                  1.411,                 2.7837,                 2.4825,                 1.1871,                0.05831,                0.19091,                0.11596,                0.07394,                0.03357,                 0.1657,                0.09164,                0.04715,                 2.0064,                 4.1158,                 3.7412,                 1.4054,             0.00033958,             0.00033958,             0.00033958
                     26,                 1.5179,                 2.9663,                 2.4427,                 1.1769,                0.06113,                0.19446,                0.11176,                0.07241,                0.03578,                 0.1663,                 0.0933,                0.04386,                 1.9991,                 4.0729,                 3.6945,                  1.416,             0.00034885,             0.00034885,             0.00034885
                     27,                 1.4697,                 2.8993,                 2.3021,                 1.1752,                0.06473,                0.20086,                0.11743,                0.07557,                0.03856,                0.16799,                0.09318,                0.04642,                 1.9967,                 3.9845,                 3.6303,                 1.4287,             0.00035776,             0.00035776,             0.00035776
                     28,                 1.4383,                 2.8229,                 2.3782,                 1.1784,                0.06473,                0.20086,                0.11743,                0.07557,                0.03856,                0.16799,                0.09318,                0.04642,                 1.9967,                 3.9845,                 3.6303,                 1.4287,             0.00036631,             0.00036631,             0.00036631
                     29,                 1.5053,                 2.8717,                 2.3788,                 1.1735,                0.07339,                0.21141,                0.13671,                0.08028,                0.04781,                0.18434,                0.11274,                0.05655,                 2.0004,                 3.9253,                 3.5734,                 1.4207,              0.0003745,              0.0003745,              0.0003745
                     30,                  1.415,                 2.7028,                 2.1705,                 1.1417,                0.07605,                0.22289,                0.13526,                0.08567,                0.05726,                  0.204,                0.12603,                0.06176,                 2.0188,                 3.8176,                 3.5033,                 1.4154,             0.00038234,             0.00038234,             0.00038234
                     31,                 1.4566,                 2.7565,                  2.181,                 1.1755,                0.07605,                0.22289,                0.13526,                0.08567,                0.05726,                  0.204,                0.12603,                0.06176,                 2.0188,                 3.8176,                 3.5033,                 1.4154,             0.00038981,             0.00038981,             0.00038981
                     32,                 1.4466,                 2.8049,                 2.1494,                  1.185,                0.07598,                0.22752,                0.13638,                0.08699,                0.06192,                0.20754,                0.12562,                0.06879,                 1.9885,                 3.7591,                 3.4563,                 1.3997,             0.00039692,             0.00039692,             0.00039692
                     33,                 1.3863,                 2.7537,                 2.0832,                 1.1333,                0.07712,                0.22644,                0.13627,                0.08828,                0.05863,                0.20694,                0.12072,                0.06323,                 1.9926,                 3.7719,                   3.45,                 1.4147,             0.00040367,             0.00040367,             0.00040367
                     34,                 1.3925,                 2.7101,                 1.9957,                  1.151,                0.07712,                0.22644,                0.13627,                0.08828,                0.05863,                0.20694,                0.12072,                0.06323,                 1.9926,                 3.7719,                   3.45,                 1.4147,             0.00041006,             0.00041006,             0.00041006
                     35,                 1.4644,                 2.8197,                 2.1379,                 1.1752,                0.63345,                0.06692,                0.13069,                 0.0876,                0.54557,                0.06557,                0.13842,                0.06822,                 1.9669,                 3.8068,                 3.4454,                 1.4295,             0.00041609,             0.00041609,             0.00041609
                     36,                 1.3856,                 2.6832,                 1.9828,                 1.1414,                0.44601,                 0.0657,                0.13293,                 0.0869,                0.38709,                 0.0696,                0.13543,                0.06877,                 1.9352,                 3.8248,                 3.4075,                   1.42,             0.00042176,             0.00042176,             0.00042176
