                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.963,                 4.8439,                 4.1712,                  1.514,                0.01425,                0.06562,                0.03298,                 0.0183,                0.00273,                0.04167,                0.02145,                0.00374,                   1.96,                 4.2136,                 4.2814,                 1.5351,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                 1.8514,                 4.6131,                  4.112,                 1.5006,                0.01515,                0.06562,                0.03227,                0.01824,                0.00278,                0.04167,                0.02147,                 0.0059,                 1.9306,                  4.222,                 4.2723,                 1.5137,                2.7e-05,                2.7e-05,                2.7e-05
                      3,                 1.7607,                 4.4069,                 4.0632,                 1.4827,                0.01742,                0.07025,                0.05444,                0.03244,                0.00292,                0.04167,                0.04194,                 0.0108,                  1.936,                 4.1651,                 4.2758,                 1.4938,              4.455e-05,              4.455e-05,              4.455e-05
                      4,                 1.7595,                 4.2169,                  4.059,                 1.4656,                0.01848,                0.07277,                0.05433,                0.03372,                0.00416,                 0.0496,                0.04264,                0.01221,                 1.9237,                 4.0748,                 4.2604,                 1.4884,              6.174e-05,              6.174e-05,              6.174e-05
                      5,                 1.6217,                 3.8567,                 4.0114,                 1.4282,                0.01562,                0.05557,                  0.052,                 0.0378,                0.00432,                 0.0496,                0.04412,                 0.0101,                 1.8801,                 4.0354,                  4.255,                 1.4323,              7.857e-05,              7.857e-05,              7.857e-05
                      6,                 1.5525,                 3.6807,                 3.9312,                 1.3159,                0.01781,                0.06603,                0.05234,                0.03018,                 0.0044,                 0.0496,                0.02331,                0.01776,                  1.896,                 4.0189,                 4.2562,                 1.4224,              9.504e-05,              9.504e-05,              9.504e-05
                      7,                  1.673,                 3.7336,                 3.9134,                 1.3362,                0.01979,                0.06603,                0.05384,                 0.0301,                0.00474,                 0.0496,                0.02424,                0.01862,                 1.9702,                 3.9661,                 4.2351,                 1.4264,             0.00011115,             0.00011115,             0.00011115
                      8,                 1.4172,                 3.4011,                 3.7592,                 1.2437,                0.02144,                0.07066,                0.05646,                0.02988,                0.00881,                0.05718,                0.02743,                0.01173,                 1.9666,                 3.9281,                 4.2093,                 1.3613,              0.0001269,              0.0001269,              0.0001269
                      9,                 1.4674,                 3.2137,                 3.6779,                 1.1966,                0.02307,                0.07529,                0.05829,                0.03087,                0.00675,                0.04924,                0.02461,                0.00922,                 1.9904,                 3.9303,                 4.2076,                 1.3745,             0.00014229,             0.00014229,             0.00014229
                     10,                 1.5107,                 3.2744,                 3.5625,                 1.2313,                 0.0233,                0.07529,                0.05947,                0.03231,                0.00661,                0.04924,                0.04465,                0.01543,                  1.994,                 3.9135,                 4.1994,                 1.3894,             0.00015732,             0.00015732,             0.00015732
                     11,                 1.4893,                 3.3184,                 3.5603,                  1.203,                0.02394,                0.07529,                0.06319,                0.03207,                0.00645,                0.04924,                0.04489,                0.02176,                  1.991,                 3.9313,                 4.2033,                 1.3783,             0.00017199,             0.00017199,             0.00017199
                     12,                 1.4857,                  3.162,                 3.5171,                 1.1864,                0.02276,                0.07529,                 0.0685,                0.02765,                 0.0064,                0.04924,                0.04456,                0.02042,                 1.9678,                 3.9463,                 4.1875,                 1.3623,              0.0001863,              0.0001863,              0.0001863
                     13,                 1.4469,                 3.1877,                 3.3797,                 1.1891,                0.02463,                0.08322,                0.04927,                0.02428,                0.00835,                0.05718,                0.02519,                0.01238,                 1.9429,                 3.9492,                 4.1669,                 1.3439,             0.00020025,             0.00020025,             0.00020025
                     14,                 1.3986,                 3.1311,                 3.3366,                 1.1592,                0.02934,                0.08996,                0.05136,                0.02174,                0.00832,                0.05718,                0.02452,                0.01377,                 1.9816,                 3.9459,                 4.1243,                 1.3337,             0.00021384,             0.00021384,             0.00021384
                     15,                 1.5546,                 3.1863,                 3.3027,                 1.2583,                 0.0281,                0.08996,                0.04139,                0.02069,                0.00815,                0.05718,                0.01758,                0.00917,                 2.0202,                 3.9819,                 4.0892,                 1.3431,             0.00022707,             0.00022707,             0.00022707
                     16,                  1.458,                 3.0325,                 3.0667,                  1.157,                0.02686,                0.08996,                0.04204,                0.02784,                0.00979,                0.06181,                 0.0262,                0.01412,                 2.0203,                 4.0527,                 4.0608,                 1.3363,             0.00023994,             0.00023994,             0.00023994
                     17,                 1.4238,                 3.0305,                 2.9215,                 1.1308,                 0.0254,                0.08666,                0.04127,                0.02546,                0.00627,                0.05093,                0.02393,                0.01315,                 2.0535,                 4.1019,                 4.0179,                 1.3509,             0.00025245,             0.00025245,             0.00025245
                     18,                 1.4974,                  2.816,                 2.7478,                 1.1504,                0.02649,                0.09129,                0.03876,                0.02066,                0.00632,                0.05093,                0.01717,                0.00973,                  2.027,                 4.1517,                 3.9736,                 1.3369,             0.00026461,             0.00026461,             0.00026461
                     19,                 1.4693,                 2.9574,                 2.7732,                  1.164,                0.03446,                0.12237,                0.05402,                0.02857,                0.01924,                0.09458,                 0.0308,                0.01409,                 2.0169,                  4.146,                  3.926,                 1.3522,              0.0002764,              0.0002764,              0.0002764
                     20,                 1.4382,                 2.7428,                 2.4735,                 1.1553,                0.04416,                0.16265,                0.06862,                0.03684,                0.02691,                0.12987,                0.04147,                0.01734,                 2.0184,                 4.1553,                   3.88,                 1.3605,             0.00028783,             0.00028783,             0.00028783
                     21,                 1.3195,                 2.6726,                  2.441,                 1.1349,                0.05013,                0.19037,                 0.0797,                0.04145,                0.03584,                0.17015,                0.05425,                0.02359,                 1.9978,                 4.1259,                 3.8498,                 1.3643,              0.0002989,              0.0002989,              0.0002989
                     22,                 1.4113,                 2.9102,                 2.5496,                 1.1898,                0.04923,                0.18244,                  0.077,                0.03925,                0.03433,                0.15759,                0.05177,                0.02477,                 1.9759,                 4.1399,                 3.8216,                 1.3516,             0.00030961,             0.00030961,             0.00030961
                     23,                 1.2624,                 2.4466,                 2.1884,                  1.061,                0.05663,                0.19061,                0.07977,                0.04166,                0.03975,                0.16709,                0.06021,                0.02575,                 1.9718,                  4.116,                  3.757,                 1.3468,             0.00031996,             0.00031996,             0.00031996
                     24,                 1.4791,                 2.7623,                 2.4684,                 1.2268,                0.06782,                0.20528,                0.09272,                0.04317,                0.04765,                0.18151,                0.05957,                0.02832,                 1.9862,                 4.1281,                 3.7072,                 1.3555,             0.00032995,             0.00032995,             0.00032995
                     25,                 1.3834,                 2.5703,                 2.2155,                 1.0741,                0.07242,                0.21336,                0.10746,                0.05127,                0.05823,                0.19062,                0.07185,                0.03333,                 1.9989,                 4.1747,                 3.6941,                 1.3482,             0.00033958,             0.00033958,             0.00033958
                     26,                 1.3524,                 2.5007,                 2.1935,                 1.1164,                0.06711,                0.19571,                0.10069,                 0.0519,                0.05732,                0.19312,                0.07371,                0.03478,                 1.9576,                 4.2648,                 3.6756,                 1.3527,             0.00034885,             0.00034885,             0.00034885
                     27,                 1.4111,                 2.7435,                 2.0676,                 1.1247,                0.07269,                0.20969,                0.11652,                0.05941,                0.05914,                0.19203,                0.08476,                0.04137,                 1.9892,                 4.2827,                 3.6878,                 1.3954,             0.00035776,             0.00035776,             0.00035776
                     28,                 1.4528,                 2.7889,                  2.175,                 1.1204,                0.07269,                0.20969,                0.11652,                0.05941,                0.05914,                0.19203,                0.08476,                0.04137,                 1.9892,                 4.2827,                 3.6878,                 1.3954,             0.00036631,             0.00036631,             0.00036631
                     29,                 1.3164,                 2.5447,                 2.0305,                  1.076,                0.08306,                0.21808,                0.13111,                0.07795,                0.06786,                0.19558,                0.11949,                0.05706,                 2.0049,                 4.2638,                 3.6764,                 1.4227,              0.0003745,              0.0003745,              0.0003745
                     30,                 1.3827,                 2.4864,                 2.1421,                 1.1134,                0.09126,                0.21994,                 0.1071,                0.06318,                 0.0708,                0.19558,                0.08816,                 0.0361,                 1.9909,                 4.2395,                 3.6678,                 1.4412,             0.00038234,             0.00038234,             0.00038234
                     31,                 1.3011,                 2.3866,                 1.9561,                 1.1004,                0.09126,                0.21994,                 0.1071,                0.06318,                 0.0708,                0.19558,                0.08816,                 0.0361,                 1.9909,                 4.2395,                 3.6678,                 1.4412,             0.00038981,             0.00038981,             0.00038981
                     32,                  1.325,                 2.4495,                 1.9368,                 1.1016,                0.08984,                0.20055,                0.10475,                0.05496,                0.06998,                0.19303,                0.08469,                0.03183,                 1.9894,                 4.2436,                 3.6851,                 1.4591,             0.00039692,             0.00039692,             0.00039692
                     33,                 1.3136,                 2.4566,                 1.7234,                 1.0638,                 0.0732,                0.15023,                0.09031,                0.04501,                0.04758,                0.14411,                 0.0686,                 0.0254,                 1.9998,                 4.2851,                  3.683,                 1.4916,             0.00040367,             0.00040367,             0.00040367
                     34,                 1.3274,                 2.4725,                 1.8084,                 1.0885,                 0.0732,                0.15023,                0.09031,                0.04501,                0.04758,                0.14411,                 0.0686,                 0.0254,                 1.9998,                 4.2851,                  3.683,                 1.4916,             0.00041006,             0.00041006,             0.00041006
                     35,                 1.1722,                 2.1701,                  1.635,                 1.0531,                 0.0766,                0.15708,                0.08706,                0.04308,                0.05093,                 0.1589,                0.06468,                0.02626,                 2.0293,                  4.327,                 3.6543,                 1.5107,             0.00041609,             0.00041609,             0.00041609
                     36,                 1.3382,                 2.4284,                 1.8205,                 1.0997,                0.07366,                0.17142,                0.09022,                0.04551,                0.06052,                0.17832,                0.07691,                 0.0305,                 2.0371,                 4.3199,                 3.5474,                 1.5161,             0.00042176,             0.00042176,             0.00042176
                     37,                 1.2673,                 2.4754,                 1.7459,                  1.084,                0.07366,                0.17142,                0.09022,                0.04551,                0.06052,                0.17832,                0.07691,                 0.0305,                 2.0371,                 4.3199,                 3.5474,                 1.5161,             0.00042707,             0.00042707,             0.00042707
                     38,                 1.2875,                 2.1771,                 1.6411,                 1.1034,                0.07296,                0.19914,                0.09722,                0.04647,                0.06281,                 0.1923,                0.08464,                0.03157,                 2.0349,                  4.351,                 3.3977,                  1.536,             0.00043202,             0.00043202,             0.00043202
                     39,                 1.2408,                 2.3142,                 1.5277,                 1.0295,                0.08602,                0.24828,                0.11534,                0.05258,                0.06781,                0.22071,                0.08504,                 0.0343,                 1.9957,                 4.3439,                 3.2741,                 1.4775,             0.00043662,             0.00043662,             0.00043662
                     40,                 1.1928,                 2.2451,                 1.5761,                 1.0553,                0.08602,                0.24828,                0.11534,                0.05258,                0.06781,                0.22071,                0.08504,                 0.0343,                 1.9957,                 4.3439,                 3.2741,                 1.4775,             0.00044085,             0.00044085,             0.00044085
                     41,                 1.2211,                 2.3044,                  1.623,                 1.0938,                0.19434,                0.12847,                0.11648,                0.05758,                0.06824,                0.22248,                0.09809,                0.04054,                 1.9976,                  4.299,                 3.2083,                 1.4685,             0.00044472,             0.00044472,             0.00044472
                     42,                 1.2333,                 2.1014,                 1.5828,                 1.0643,                0.21294,                0.11721,                0.11629,                0.05716,                0.06236,                 0.2085,                0.08809,                  0.037,                 1.9796,                 4.2214,                  3.197,                 1.4541,             0.00044823,             0.00044823,             0.00044823
                     43,                 1.1551,                 2.1202,                 1.4406,                 1.0478,                0.21294,                0.11721,                0.11629,                0.05716,                0.06236,                 0.2085,                0.08809,                  0.037,                 1.9796,                 4.2214,                  3.197,                 1.4541,             0.00045138,             0.00045138,             0.00045138
                     44,                  1.305,                 2.4758,                  1.608,                 1.0915,                0.26055,                0.08031,                0.10979,                  0.056,                0.18275,                0.08764,                0.09491,                 0.0404,                 1.9913,                 4.1156,                 3.1707,                 1.4469,             0.00045417,             0.00045417,             0.00045417
                     45,                 1.1976,                 2.2208,                 1.3883,                 1.0228,                0.26055,                0.08031,                0.10979,                  0.056,                0.18275,                0.08764,                0.09491,                 0.0404,                 1.9913,                 4.1156,                 3.1707,                 1.4469,             0.00045661,             0.00045661,             0.00045661
                     46,                 1.1538,                 2.0971,                 1.4469,                 1.0056,                0.18046,                0.14939,                0.11068,                0.05586,                0.19094,                0.09595,                0.10581,                0.04272,                  2.008,                 4.1525,                 3.1371,                 1.4609,             0.00045868,             0.00045868,             0.00045868
                     47,                 1.1541,                 2.1569,                  1.436,                 1.0276,                0.18046,                0.14939,                0.11068,                0.05586,                0.19094,                0.09595,                0.10581,                0.04272,                  2.008,                 4.1525,                 3.1371,                 1.4609,             0.00046039,             0.00046039,             0.00046039
                     48,                 1.2499,                 2.2355,                 1.5045,                 1.0442,                0.23019,                0.11889,                 0.1062,                0.05195,                 0.2281,                0.09581,                0.09903,                0.04202,                 2.0215,                 4.2071,                 3.1276,                  1.478,             0.00046174,             0.00046174,             0.00046174
                     49,                 1.2133,                 2.0786,                 1.3492,                 1.0112,                0.23019,                0.11889,                 0.1062,                0.05195,                 0.2281,                0.09581,                0.09903,                0.04202,                 2.0215,                 4.2071,                 3.1276,                  1.478,             0.00046273,             0.00046273,             0.00046273
                     50,                 1.1911,                  2.218,                 1.4388,                 1.0384,                0.21639,                0.11124,                0.11643,                0.05787,                0.20662,                0.10074,                0.09666,                0.04332,                 2.0034,                 4.1074,                 3.0539,                 1.4497,             0.00046336,             0.00046336,             0.00046336
