                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1782,                 5.1452,                 3.7998,                 1.4449,                0.00661,                0.02941,                0.01124,                0.00373,                      0,                      0,                      0,                      0,                 2.5314,                 4.3936,                 3.9611,                 1.6817,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 2.0232,                 4.6899,                 3.8233,                 1.3987,                0.00408,                0.01961,                0.00898,                0.00322,                      0,                      0,                      0,                      0,                 2.6888,                 4.2789,                 3.9814,                 1.6272,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                   1.95,                 4.5991,                 3.7022,                 1.4127,                0.00417,                0.01961,                0.00863,                0.00254,                      0,                      0,                      0,                      0,                 2.9558,                 4.2618,                 3.9979,                 1.5197,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                 1.9341,                 4.2689,                 3.5581,                 1.3143,                0.00397,                0.01961,                0.00967,                0.00304,                      0,                      0,                      0,                      0,                 2.9051,                 4.3052,                 3.9579,                 1.4548,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                 1.7685,                  3.716,                 3.6272,                 1.2604,                0.00966,                0.03195,                0.01485,                0.00648,                0.00301,                0.00617,                0.00153,                0.00015,                 3.0192,                 4.2668,                 3.9726,                 1.3732,             0.00012352,             0.00012352,             0.00012352
                      6,                   2.01,                 3.8094,                 3.3457,                  1.309,                0.01501,                0.04067,                 0.0154,                0.00635,                0.01832,                0.04321,                0.00996,                0.00442,                 3.0428,                 4.4552,                 3.9658,                 1.3382,             0.00014941,             0.00014941,             0.00014941
                      7,                 1.8752,                  3.641,                 3.1887,                 1.2046,                0.01983,                0.06282,                0.01883,                0.00736,                0.02232,                0.06173,                0.01283,                  0.006,                 3.1107,                 4.4612,                 3.9486,                 1.3363,             0.00017474,             0.00017474,             0.00017474
                      8,                 1.7732,                 3.5535,                  2.859,                 1.2098,                0.01798,                0.05919,                 0.0177,                0.00641,                 0.0332,                0.10494,                0.02045,                0.00638,                 3.0813,                 4.4594,                 3.8232,                  1.451,              0.0001995,              0.0001995,              0.0001995
                      9,                 1.7381,                 3.2439,                 2.6529,                 1.1532,                0.02984,                 0.1024,                  0.025,                0.00837,                0.03273,                0.11111,                0.02033,                0.00765,                  3.086,                  4.452,                 3.8258,                 1.4294,             0.00022369,             0.00022369,             0.00022369
                     10,                 1.6852,                 3.1566,                 2.2652,                 1.1374,                0.02966,                0.10603,                0.02522,                0.00884,                0.03276,                0.11728,                 0.0207,                0.00779,                 3.0739,                 4.4554,                 3.8144,                 1.4237,             0.00024732,             0.00024732,             0.00024732
                     11,                  1.776,                 3.3575,                 2.3495,                 1.2269,                0.02784,                0.09985,                0.02405,                0.00822,                0.02872,                0.10494,                 0.0184,                0.00728,                 3.0756,                 4.4473,                  3.779,                 1.4586,             0.00027038,             0.00027038,             0.00027038
                     12,                  1.755,                 3.1959,                 2.1289,                  1.107,                0.02573,                0.09005,                0.02278,                0.00861,                0.02962,                0.10494,                0.01909,                0.00711,                  3.084,                 4.3639,                 3.7445,                 1.4486,             0.00029288,             0.00029288,             0.00029288
                     13,                 1.5829,                 3.4253,                  2.045,                 1.0998,                0.02336,                0.08134,                0.02087,                0.00837,                 0.0322,                0.11728,                0.02077,                0.00746,                 3.0587,                 4.1277,                 3.6891,                  1.468,             0.00031481,             0.00031481,             0.00031481
                     14,                 1.6664,                  3.056,                 1.7522,                 1.1159,                0.02568,                0.08751,                0.01839,                0.00786,                 0.0318,                0.11111,                0.02006,                0.00692,                 3.1031,                 4.0837,                 3.6452,                 1.4753,             0.00033617,             0.00033617,             0.00033617
                     15,                 1.8253,                 3.2132,                 1.8991,                 1.1751,                0.02475,                0.08134,                0.01649,                0.00559,                0.02642,                0.08642,                0.01569,                0.00467,                  3.034,                 3.9662,                 3.5629,                 1.5392,             0.00035697,             0.00035697,             0.00035697
                     16,                 1.6663,                 3.0614,                 1.6728,                 1.0629,                0.02943,                0.09985,                0.01913,                0.00712,                0.02679,                0.09259,                0.01615,                0.00621,                 2.9577,                 4.0403,                 3.5104,                 1.4809,             0.00037721,             0.00037721,             0.00037721
                     17,                 1.7148,                 3.1051,                 1.5509,                 1.0653,                0.03432,                0.12455,                0.02218,                 0.0082,                0.03387,                0.12963,                0.02242,                0.00791,                 2.9287,                 4.1703,                 3.4549,                 1.4094,             0.00039687,             0.00039687,             0.00039687
